Jugador,Equipo,JJ,Apariciones al plato,Hits,Dobles,Triples,Jonrones,Impulsadas,Promedio,Entradas lanzadas,Juegos ganados,Ponches,Efectividad (7 ent.)
Brando Hernandez,Pinoleros 505,1,2,2,1,1,0,3,1.000,0,,,
Josue Mayorga,Pinoleros 505,1,2,1,1,0,0,3,0.500,,,,
Gerald Arriola,Pinoleros 505,1,2,1,1,0,0,2,1.000,0,,,
Kevin Obando,Pinoleros 505,1,1,1,1,0,0,2,1.000,,,,
Neymar Valle,Pinoleros 505,1,1,1,1,0,0,2,1.000,,,,
Andy Hill,Pinoleros 505,1,2,1,0,0,1,1,1.000,0,,,
Bryan Hernandez,Pinoleros 505,1,2,2,2,0,0,1,1.000,,,,
Elmer Meneses,Pinoleros 505,1,2,1,0,0,1,1,0.500,0,,,
Jose Brenes,Pinoleros 505,1,2,1,1,0,0,1,1.000,0,,,
Julio Lanuza,Pinoleros 505,1,2,2,1,0,0,1,1.000,,,,
Moises Reyes,Pinoleros 505,1,2,1,0,0,0,1,0.500,0,,,
Norvin Osorio,Pinoleros 505,1,2,1,1,0,0,1,0.500,0,,,
Rodrigo Mejia,Pinoleros 505,1,2,0,0,0,0,1,0.000,0,,,
Allan Nuñez,Pinoleros 505,1,2,2,0,0,0,0,1.000,,,,
Frambely Gutierrez,Pinoleros 505,1,2,1,0,0,0,0,0.500,3,1,3,2.33
Gustavo Lopez,Pinoleros 505,1,1,0,0,0,0,0,0.000,,,,
Jose Ortiz,Pinoleros 505,1,2,1,0,1,0,0,1.000,0,,,
Moises Moraga,Pinoleros 505,1,2,1,0,0,0,0,1.000,,,,
Abdiel Cerrud,Warthogs,1,3,2,0,0,0,4,0.667,,,,
Alexander Beitia,Warthogs,1,3,2,1,1,0,3,1.000,,,,
Manuel Aizpurua,Warthogs,1,2,2,1,0,0,3,1.000,1,,0,0.00
German Castro,Warthogs,1,2,1,0,0,0,1,0.500,,,,
Hector Ruiz,Warthogs,1,3,2,0,0,0,1,0.667,,,,
Jose Donado,Warthogs,1,3,2,0,0,0,1,0.667,,,,
Martin Castillero Jr,Warthogs,1,3,1,0,1,0,1,0.333,,,,
Moises Tenorio,Warthogs,1,2,2,0,0,1,1,1.000,,,,
Ali Piña,Warthogs,1,2,1,0,0,0,0,0.500,,,,
Hector Vergara,Warthogs,1,2,1,0,0,0,0,0.500,0,,,
Javier Nay,Warthogs,1,2,0,0,0,0,0,0.000,,,,
Johan Castillo,Warthogs,1,3,1,0,0,0,0,0.333,,,,
Josue Cerrud,Warthogs,1,2,1,0,0,0,0,0.500,,,,
Martin Castillero,Warthogs,1,2,0,0,0,0,0,0.000,4,1,0,8.75
Gustavo,Goofy's Squad,1,2,2,0,0,0,2,1.000,0,,,
Deiker,Goofy's Squad,1,1,1,0,0,0,1,1.000,,,,
Francksco G,Goofy's Squad,1,3,0,0,0,0,1,0.000,0,,,
Anyerigue,Goofy's Squad,1,1,0,0,0,0,0,0.000,,,,
Banyeir Mojica,Goofy's Squad,1,1,0,0,0,0,0,0.000,0,,,
Fernando Jr,Goofy's Squad,1,1,0,0,0,0,0,0.000,0,,,
Franco,Goofy's Squad,1,2,0,0,0,0,0,0.000,0,,,
Gabriel Chong,Goofy's Squad,1,2,1,0,0,0,0,0.500,0,,,
Heber,Goofy's Squad,1,1,0,0,0,0,0,0.000,1,,0,26.25
Joaco Lombar Jr,Goofy's Squad,1,2,0,0,0,0,0,0.000,0,,,
Luis Silva,Goofy's Squad,1,2,1,0,0,0,0,0.500,2,0,1,21.00
Manu,Goofy's Squad,1,2,2,0,0,0,0,1.000,0,,,
Manu Pitty,Goofy's Squad,1,1,0,0,0,0,0,0.000,0,,,
Marcano,Goofy's Squad,1,1,0,0,0,0,0,0.000,,,,
Randy,Goofy's Squad,1,1,0,0,0,0,0,0.000,,,,
Ricardo Adames,Goofy's Squad,1,2,1,0,0,0,0,0.500,,,,
Rigoberto,Goofy's Squad,1,1,0,0,0,0,0,0.000,0,,,
Roberto,Goofy's Squad,1,1,1,0,0,0,0,1.000,0,,,
Taken Viñero,Goofy's Squad,1,,,,,,,,,,,
Yurlo,Goofy's Squad,1,1,1,1,0,0,0,1.000,,,,
Cesar Quiu,La Comisión,1,1,1,0,0,0,1,1.000,0,,,
Adrian Mejia,La Comisión,1,1,0,0,0,0,0,0.000,0,,,
Alberto Orozco,La Comisión,1,1,1,0,0,0,0,1.000,0,,,
Edwin Perez,La Comisión,1,2,0,0,0,0,0,0.000,0,,,
Eric Sugasti,La Comisión,1,2,1,1,0,0,0,0.500,0,,,
Javier Lao,La Comisión,1,2,1,0,0,0,0,0.500,0,,,
Jose Isaac Martinez,La Comisión,1,1,1,0,0,0,0,1.000,2,0,2,28.88
Jostin Serrano,La Comisión,1,1,0,0,0,0,0,0.000,0,,,
Julio Torres,La Comisión,1,1,0,0,0,0,0,0.000,0,,,
Reymond Delisser,La Comisión,1,2,0,0,0,0,0,0.000,0,,,
